"","...1","t_year","year","Date","Location","Sublocation","Block","Treatment","Treatment_ID","Subplot","Microtopography","Total","Notat","Sph_sp","cover","Proportion","cover_no0","cover_int","cover_no1"
"1222",1222,2,2021,2021-09-15,"VSM",1,2,"S","S2",4,"3",9,NA,"Sph ang",5,0.555555555555556,5,5,5
"1223",1223,2,2021,2021-09-15,"VSM",1,2,"S","S2",4,"3",9,NA,"Sph cap",3,0.333333333333333,3,3,3
"1224",1224,2,2021,2021-09-15,"VSM",1,2,"S","S2",4,"3",9,NA,"Sph ten",1,0.111111111111111,1,1,1
"1225",1225,2,2021,2021-09-15,"VSM",1,2,"S","S2",4,"3",9,NA,"Sph pap",0,0,0.01,0,0
"1226",1226,2,2021,2021-09-15,"VSM",1,2,"S","S2",4,"3",9,NA,"Sph div",0,0,0.01,0,0
"1227",1227,2,2021,2021-09-15,"VSM",1,2,"S","S2",4,"3",9,NA,"Sph rus",0,0,0.01,0,0
"1228",1228,2,2021,2021-09-15,"VSM",1,2,"S","S2",4,"3",9,NA,"Sph com",0,0,0.01,0,0
"1229",1229,2,2021,2021-09-15,"VSM",1,2,"S","S2",4,"3",9,NA,"Sph maj",0,0,0.01,0,0
"1230",1230,2,2021,2021-09-15,"VSM",1,2,"S","S2",4,"3",9,NA,"Sph bal",0,0,0.01,0,0
"1231",1231,2,2021,2021-09-15,"VSM",1,2,"S","S2",4,"3",9,NA,"Sph rip",0,0,0.01,0,0
"1232",1232,2,2021,2021-09-15,"VSM",1,2,"S","S2",4,"3",9,NA,"Sph cf",0,0,0.01,0,0
"1233",1233,2,2021,2021-09-15,"VSM",1,3,"S","S1",1,"4",7,NA,"Sph ang",4,0.571428571428571,4,4,4
"1234",1234,2,2021,2021-09-15,"VSM",1,3,"S","S1",1,"4",7,NA,"Sph cap",1,0.142857142857143,1,1,1
"1235",1235,2,2021,2021-09-15,"VSM",1,3,"S","S1",1,"4",7,NA,"Sph ten",1,0.142857142857143,1,1,1
"1236",1236,2,2021,2021-09-15,"VSM",1,3,"S","S1",1,"4",7,NA,"Sph pap",1,0.142857142857143,1,1,1
"1237",1237,2,2021,2021-09-15,"VSM",1,3,"S","S1",1,"4",7,NA,"Sph div",0,0,0.01,0,0
"1238",1238,2,2021,2021-09-15,"VSM",1,3,"S","S1",1,"4",7,NA,"Sph rus",0,0,0.01,0,0
"1239",1239,2,2021,2021-09-15,"VSM",1,3,"S","S1",1,"4",7,NA,"Sph com",0,0,0.01,0,0
"1240",1240,2,2021,2021-09-15,"VSM",1,3,"S","S1",1,"4",7,NA,"Sph maj",0,0,0.01,0,0
"1241",1241,2,2021,2021-09-15,"VSM",1,3,"S","S1",1,"4",7,NA,"Sph bal",0,0,0.01,0,0
"1242",1242,2,2021,2021-09-15,"VSM",1,3,"S","S1",1,"4",7,NA,"Sph rip",0,0,0.01,0,0
"1243",1243,2,2021,2021-09-15,"VSM",1,3,"S","S1",1,"4",7,NA,"Sph cf",0,0,0.01,0,0
"1244",1244,2,2021,2021-09-15,"VSM",1,3,"S","S1",2,"6",7,NA,"Sph ang",5,0.714285714285714,5,5,5
"1245",1245,2,2021,2021-09-15,"VSM",1,3,"S","S1",2,"6",7,NA,"Sph cap",1,0.142857142857143,1,1,1
"1246",1246,2,2021,2021-09-15,"VSM",1,3,"S","S1",2,"6",7,NA,"Sph ten",1,0.142857142857143,1,1,1
"1247",1247,2,2021,2021-09-15,"VSM",1,3,"S","S1",2,"6",7,NA,"Sph pap",0,0,0.01,0,0
"1248",1248,2,2021,2021-09-15,"VSM",1,3,"S","S1",2,"6",7,NA,"Sph div",0,0,0.01,0,0
"1249",1249,2,2021,2021-09-15,"VSM",1,3,"S","S1",2,"6",7,NA,"Sph rus",0,0,0.01,0,0
"1250",1250,2,2021,2021-09-15,"VSM",1,3,"S","S1",2,"6",7,NA,"Sph com",0,0,0.01,0,0
"1251",1251,2,2021,2021-09-15,"VSM",1,3,"S","S1",2,"6",7,NA,"Sph maj",0,0,0.01,0,0
"1252",1252,2,2021,2021-09-15,"VSM",1,3,"S","S1",2,"6",7,NA,"Sph bal",0,0,0.01,0,0
"1253",1253,2,2021,2021-09-15,"VSM",1,3,"S","S1",2,"6",7,NA,"Sph rip",0,0,0.01,0,0
"1254",1254,2,2021,2021-09-15,"VSM",1,3,"S","S1",2,"6",7,NA,"Sph cf",0,0,0.01,0,0
"1255",1255,2,2021,2021-09-15,"VSM",1,3,"S","S1",3,"4",7,NA,"Sph ang",5,0.714285714285714,5,5,5
"1256",1256,2,2021,2021-09-15,"VSM",1,3,"S","S1",3,"4",7,NA,"Sph cap",1,0.142857142857143,1,1,1
"1257",1257,2,2021,2021-09-15,"VSM",1,3,"S","S1",3,"4",7,NA,"Sph ten",1,0.142857142857143,1,1,1
"1258",1258,2,2021,2021-09-15,"VSM",1,3,"S","S1",3,"4",7,NA,"Sph pap",0,0,0.01,0,0
"1259",1259,2,2021,2021-09-15,"VSM",1,3,"S","S1",3,"4",7,NA,"Sph div",0,0,0.01,0,0
"1260",1260,2,2021,2021-09-15,"VSM",1,3,"S","S1",3,"4",7,NA,"Sph rus",0,0,0.01,0,0
"1261",1261,2,2021,2021-09-15,"VSM",1,3,"S","S1",3,"4",7,NA,"Sph com",0,0,0.01,0,0
"1262",1262,2,2021,2021-09-15,"VSM",1,3,"S","S1",3,"4",7,NA,"Sph maj",0,0,0.01,0,0
"1263",1263,2,2021,2021-09-15,"VSM",1,3,"S","S1",3,"4",7,NA,"Sph bal",0,0,0.01,0,0
"1264",1264,2,2021,2021-09-15,"VSM",1,3,"S","S1",3,"4",7,NA,"Sph rip",0,0,0.01,0,0
"1265",1265,2,2021,2021-09-15,"VSM",1,3,"S","S1",3,"4",7,NA,"Sph cf",0,0,0.01,0,0
"1266",1266,2,2021,2021-09-15,"VSM",1,3,"S","S1",4,"5",9,NA,"Sph ang",6,0.666666666666667,6,6,6
"1267",1267,2,2021,2021-09-15,"VSM",1,3,"S","S1",4,"5",9,NA,"Sph cap",2,0.222222222222222,2,2,2
"1268",1268,2,2021,2021-09-15,"VSM",1,3,"S","S1",4,"5",9,NA,"Sph ten",1,0.111111111111111,1,1,1
"1269",1269,2,2021,2021-09-15,"VSM",1,3,"S","S1",4,"5",9,NA,"Sph pap",0,0,0.01,0,0
"1270",1270,2,2021,2021-09-15,"VSM",1,3,"S","S1",4,"5",9,NA,"Sph div",0,0,0.01,0,0
"1271",1271,2,2021,2021-09-15,"VSM",1,3,"S","S1",4,"5",9,NA,"Sph rus",0,0,0.01,0,0
"1272",1272,2,2021,2021-09-15,"VSM",1,3,"S","S1",4,"5",9,NA,"Sph com",0,0,0.01,0,0
"1273",1273,2,2021,2021-09-15,"VSM",1,3,"S","S1",4,"5",9,NA,"Sph maj",0,0,0.01,0,0
"1274",1274,2,2021,2021-09-15,"VSM",1,3,"S","S1",4,"5",9,NA,"Sph bal",0,0,0.01,0,0
"1275",1275,2,2021,2021-09-15,"VSM",1,3,"S","S1",4,"5",9,NA,"Sph rip",0,0,0.01,0,0
"1276",1276,2,2021,2021-09-15,"VSM",1,3,"S","S1",4,"5",9,NA,"Sph cf",0,0,0.01,0,0
"1277",1277,2,2021,2021-09-15,"VSM",1,3,"S","S2",1,"4",9,NA,"Sph ang",5,0.555555555555556,5,5,5
"1278",1278,2,2021,2021-09-15,"VSM",1,3,"S","S2",1,"4",9,NA,"Sph cap",2,0.222222222222222,2,2,2
"1279",1279,2,2021,2021-09-15,"VSM",1,3,"S","S2",1,"4",9,NA,"Sph ten",1,0.111111111111111,1,1,1
"1280",1280,2,2021,2021-09-15,"VSM",1,3,"S","S2",1,"4",9,NA,"Sph pap",1,0.111111111111111,1,1,1
"1281",1281,2,2021,2021-09-15,"VSM",1,3,"S","S2",1,"4",9,NA,"Sph div",0,0,0.01,0,0
"1282",1282,2,2021,2021-09-15,"VSM",1,3,"S","S2",1,"4",9,NA,"Sph rus",0,0,0.01,0,0
"1283",1283,2,2021,2021-09-15,"VSM",1,3,"S","S2",1,"4",9,NA,"Sph com",0,0,0.01,0,0
"1284",1284,2,2021,2021-09-15,"VSM",1,3,"S","S2",1,"4",9,NA,"Sph maj",0,0,0.01,0,0
"1285",1285,2,2021,2021-09-15,"VSM",1,3,"S","S2",1,"4",9,NA,"Sph bal",0,0,0.01,0,0
"1286",1286,2,2021,2021-09-15,"VSM",1,3,"S","S2",1,"4",9,NA,"Sph rip",0,0,0.01,0,0
"1287",1287,2,2021,2021-09-15,"VSM",1,3,"S","S2",1,"4",9,NA,"Sph cf",0,0,0.01,0,0
"1288",1288,2,2021,2021-09-15,"VSM",1,3,"S","S2",2,"4",6,NA,"Sph ang",3,0.5,3,3,3
"1289",1289,2,2021,2021-09-15,"VSM",1,3,"S","S2",2,"4",6,NA,"Sph cap",1,0.166666666666667,1,1,1
"1290",1290,2,2021,2021-09-15,"VSM",1,3,"S","S2",2,"4",6,NA,"Sph ten",1,0.166666666666667,1,1,1
"1291",1291,2,2021,2021-09-15,"VSM",1,3,"S","S2",2,"4",6,NA,"Sph pap",1,0.166666666666667,1,1,1
"1292",1292,2,2021,2021-09-15,"VSM",1,3,"S","S2",2,"4",6,NA,"Sph div",0,0,0.01,0,0
"1293",1293,2,2021,2021-09-15,"VSM",1,3,"S","S2",2,"4",6,NA,"Sph rus",0,0,0.01,0,0
"1294",1294,2,2021,2021-09-15,"VSM",1,3,"S","S2",2,"4",6,NA,"Sph com",0,0,0.01,0,0
"1295",1295,2,2021,2021-09-15,"VSM",1,3,"S","S2",2,"4",6,NA,"Sph maj",0,0,0.01,0,0
"1296",1296,2,2021,2021-09-15,"VSM",1,3,"S","S2",2,"4",6,NA,"Sph bal",0,0,0.01,0,0
"1297",1297,2,2021,2021-09-15,"VSM",1,3,"S","S2",2,"4",6,NA,"Sph rip",0,0,0.01,0,0
"1298",1298,2,2021,2021-09-15,"VSM",1,3,"S","S2",2,"4",6,NA,"Sph cf",0,0,0.01,0,0
"1299",1299,2,2021,2021-09-15,"VSM",1,3,"S","S2",3,"6",4,"tr<e5>kk","Sph ang",1,0.25,1,1,1
"1300",1300,2,2021,2021-09-15,"VSM",1,3,"S","S2",3,"6",4,"tr<e5>kk","Sph cap",2,0.5,2,2,2
"1301",1301,2,2021,2021-09-15,"VSM",1,3,"S","S2",3,"6",4,"tr<e5>kk","Sph ten",0,0,0.01,0,0
"1302",1302,2,2021,2021-09-15,"VSM",1,3,"S","S2",3,"6",4,"tr<e5>kk","Sph pap",1,0.25,1,1,1
"1303",1303,2,2021,2021-09-15,"VSM",1,3,"S","S2",3,"6",4,"tr<e5>kk","Sph div",0,0,0.01,0,0
"1304",1304,2,2021,2021-09-15,"VSM",1,3,"S","S2",3,"6",4,"tr<e5>kk","Sph rus",0,0,0.01,0,0
"1305",1305,2,2021,2021-09-15,"VSM",1,3,"S","S2",3,"6",4,"tr<e5>kk","Sph com",0,0,0.01,0,0
"1306",1306,2,2021,2021-09-15,"VSM",1,3,"S","S2",3,"6",4,"tr<e5>kk","Sph maj",0,0,0.01,0,0
"1307",1307,2,2021,2021-09-15,"VSM",1,3,"S","S2",3,"6",4,"tr<e5>kk","Sph bal",0,0,0.01,0,0
"1308",1308,2,2021,2021-09-15,"VSM",1,3,"S","S2",3,"6",4,"tr<e5>kk","Sph rip",0,0,0.01,0,0
"1309",1309,2,2021,2021-09-15,"VSM",1,3,"S","S2",3,"6",4,"tr<e5>kk","Sph cf",0,0,0.01,0,0
"1310",1310,2,2021,2021-09-15,"VSM",1,3,"S","S2",4,"5",5,NA,"Sph ang",5,1,5,5,5
"1311",1311,2,2021,2021-09-15,"VSM",1,3,"S","S2",4,"5",5,NA,"Sph cap",0,0,0.01,0,0
"1312",1312,2,2021,2021-09-15,"VSM",1,3,"S","S2",4,"5",5,NA,"Sph ten",0,0,0.01,0,0
"1313",1313,2,2021,2021-09-15,"VSM",1,3,"S","S2",4,"5",5,NA,"Sph pap",0,0,0.01,0,0
"1314",1314,2,2021,2021-09-15,"VSM",1,3,"S","S2",4,"5",5,NA,"Sph div",0,0,0.01,0,0
"1315",1315,2,2021,2021-09-15,"VSM",1,3,"S","S2",4,"5",5,NA,"Sph rus",0,0,0.01,0,0
"1316",1316,2,2021,2021-09-15,"VSM",1,3,"S","S2",4,"5",5,NA,"Sph com",0,0,0.01,0,0
"1317",1317,2,2021,2021-09-15,"VSM",1,3,"S","S2",4,"5",5,NA,"Sph maj",0,0,0.01,0,0
"1318",1318,2,2021,2021-09-15,"VSM",1,3,"S","S2",4,"5",5,NA,"Sph bal",0,0,0.01,0,0
"1319",1319,2,2021,2021-09-15,"VSM",1,3,"S","S2",4,"5",5,NA,"Sph rip",0,0,0.01,0,0
"1320",1320,2,2021,2021-09-15,"VSM",1,3,"S","S2",4,"5",5,NA,"Sph cf",0,0,0.01,0,0
"1321",1321,2,2021,2021-09-15,"VSM",1,4,"S","S1",1,"3",9,NA,"Sph ang",5,0.555555555555556,5,5,5
"1322",1322,2,2021,2021-09-15,"VSM",1,4,"S","S1",1,"3",9,NA,"Sph cap",1,0.111111111111111,1,1,1
"1323",1323,2,2021,2021-09-15,"VSM",1,4,"S","S1",1,"3",9,NA,"Sph ten",1,0.111111111111111,1,1,1
"1324",1324,2,2021,2021-09-15,"VSM",1,4,"S","S1",1,"3",9,NA,"Sph pap",2,0.222222222222222,2,2,2
"1325",1325,2,2021,2021-09-15,"VSM",1,4,"S","S1",1,"3",9,NA,"Sph div",0,0,0.01,0,0
"1326",1326,2,2021,2021-09-15,"VSM",1,4,"S","S1",1,"3",9,NA,"Sph rus",0,0,0.01,0,0
"1327",1327,2,2021,2021-09-15,"VSM",1,4,"S","S1",1,"3",9,NA,"Sph com",0,0,0.01,0,0
"1328",1328,2,2021,2021-09-15,"VSM",1,4,"S","S1",1,"3",9,NA,"Sph maj",0,0,0.01,0,0
"1329",1329,2,2021,2021-09-15,"VSM",1,4,"S","S1",1,"3",9,NA,"Sph bal",0,0,0.01,0,0
"1330",1330,2,2021,2021-09-15,"VSM",1,4,"S","S1",1,"3",9,NA,"Sph rip",0,0,0.01,0,0
"1331",1331,2,2021,2021-09-15,"VSM",1,4,"S","S1",1,"3",9,NA,"Sph cf",0,0,0.01,0,0
"1332",1332,2,2021,2021-09-15,"VSM",1,4,"S","S1",2,"6",10,"tr<e5>kk","Sph ang",6,0.6,6,6,6
"1333",1333,2,2021,2021-09-15,"VSM",1,4,"S","S1",2,"6",10,"tr<e5>kk","Sph cap",1,0.1,1,1,1
"1334",1334,2,2021,2021-09-15,"VSM",1,4,"S","S1",2,"6",10,"tr<e5>kk","Sph ten",1,0.1,1,1,1
"1335",1335,2,2021,2021-09-15,"VSM",1,4,"S","S1",2,"6",10,"tr<e5>kk","Sph pap",2,0.2,2,2,2
"1336",1336,2,2021,2021-09-15,"VSM",1,4,"S","S1",2,"6",10,"tr<e5>kk","Sph div",0,0,0.01,0,0
"1337",1337,2,2021,2021-09-15,"VSM",1,4,"S","S1",2,"6",10,"tr<e5>kk","Sph rus",0,0,0.01,0,0
"1338",1338,2,2021,2021-09-15,"VSM",1,4,"S","S1",2,"6",10,"tr<e5>kk","Sph com",0,0,0.01,0,0
"1339",1339,2,2021,2021-09-15,"VSM",1,4,"S","S1",2,"6",10,"tr<e5>kk","Sph maj",0,0,0.01,0,0
"1340",1340,2,2021,2021-09-15,"VSM",1,4,"S","S1",2,"6",10,"tr<e5>kk","Sph bal",0,0,0.01,0,0
"1341",1341,2,2021,2021-09-15,"VSM",1,4,"S","S1",2,"6",10,"tr<e5>kk","Sph rip",0,0,0.01,0,0
"1342",1342,2,2021,2021-09-15,"VSM",1,4,"S","S1",2,"6",10,"tr<e5>kk","Sph cf",0,0,0.01,0,0
"1343",1343,2,2021,2021-09-15,"VSM",1,4,"S","S1",3,"6",3,NA,"Sph ang",3,1,3,3,3
"1344",1344,2,2021,2021-09-15,"VSM",1,4,"S","S1",3,"6",3,NA,"Sph cap",0,0,0.01,0,0
"1345",1345,2,2021,2021-09-15,"VSM",1,4,"S","S1",3,"6",3,NA,"Sph ten",0,0,0.01,0,0
"1346",1346,2,2021,2021-09-15,"VSM",1,4,"S","S1",3,"6",3,NA,"Sph pap",0,0,0.01,0,0
"1347",1347,2,2021,2021-09-15,"VSM",1,4,"S","S1",3,"6",3,NA,"Sph div",0,0,0.01,0,0
"1348",1348,2,2021,2021-09-15,"VSM",1,4,"S","S1",3,"6",3,NA,"Sph rus",0,0,0.01,0,0
"1349",1349,2,2021,2021-09-15,"VSM",1,4,"S","S1",3,"6",3,NA,"Sph com",0,0,0.01,0,0
"1350",1350,2,2021,2021-09-15,"VSM",1,4,"S","S1",3,"6",3,NA,"Sph maj",0,0,0.01,0,0
"1351",1351,2,2021,2021-09-15,"VSM",1,4,"S","S1",3,"6",3,NA,"Sph bal",0,0,0.01,0,0
"1352",1352,2,2021,2021-09-15,"VSM",1,4,"S","S1",3,"6",3,NA,"Sph rip",0,0,0.01,0,0
"1353",1353,2,2021,2021-09-15,"VSM",1,4,"S","S1",3,"6",3,NA,"Sph cf",0,0,0.01,0,0
"1354",1354,2,2021,2021-09-15,"VSM",1,4,"S","S1",4,"6",6,NA,"Sph ang",2,0.333333333333333,2,2,2
"1355",1355,2,2021,2021-09-15,"VSM",1,4,"S","S1",4,"6",6,NA,"Sph cap",3,0.5,3,3,3
"1356",1356,2,2021,2021-09-15,"VSM",1,4,"S","S1",4,"6",6,NA,"Sph ten",1,0.166666666666667,1,1,1
"1357",1357,2,2021,2021-09-15,"VSM",1,4,"S","S1",4,"6",6,NA,"Sph pap",0,0,0.01,0,0
"1358",1358,2,2021,2021-09-15,"VSM",1,4,"S","S1",4,"6",6,NA,"Sph div",0,0,0.01,0,0
"1359",1359,2,2021,2021-09-15,"VSM",1,4,"S","S1",4,"6",6,NA,"Sph rus",0,0,0.01,0,0
"1360",1360,2,2021,2021-09-15,"VSM",1,4,"S","S1",4,"6",6,NA,"Sph com",0,0,0.01,0,0
"1361",1361,2,2021,2021-09-15,"VSM",1,4,"S","S1",4,"6",6,NA,"Sph maj",0,0,0.01,0,0
"1362",1362,2,2021,2021-09-15,"VSM",1,4,"S","S1",4,"6",6,NA,"Sph bal",0,0,0.01,0,0
"1363",1363,2,2021,2021-09-15,"VSM",1,4,"S","S1",4,"6",6,NA,"Sph rip",0,0,0.01,0,0
"1364",1364,2,2021,2021-09-15,"VSM",1,4,"S","S1",4,"6",6,NA,"Sph cf",0,0,0.01,0,0
"1365",1365,2,2021,2021-09-15,"VSM",1,4,"S","S2",1,"3",7,NA,"Sph ang",3,0.428571428571429,3,3,3
"1366",1366,2,2021,2021-09-15,"VSM",1,4,"S","S2",1,"3",7,NA,"Sph cap",2,0.285714285714286,2,2,2
"1367",1367,2,2021,2021-09-15,"VSM",1,4,"S","S2",1,"3",7,NA,"Sph ten",0,0,0.01,0,0
"1368",1368,2,2021,2021-09-15,"VSM",1,4,"S","S2",1,"3",7,NA,"Sph pap",2,0.285714285714286,2,2,2
"1369",1369,2,2021,2021-09-15,"VSM",1,4,"S","S2",1,"3",7,NA,"Sph div",0,0,0.01,0,0
"1370",1370,2,2021,2021-09-15,"VSM",1,4,"S","S2",1,"3",7,NA,"Sph rus",0,0,0.01,0,0
"1371",1371,2,2021,2021-09-15,"VSM",1,4,"S","S2",1,"3",7,NA,"Sph com",0,0,0.01,0,0
"1372",1372,2,2021,2021-09-15,"VSM",1,4,"S","S2",1,"3",7,NA,"Sph maj",0,0,0.01,0,0
"1373",1373,2,2021,2021-09-15,"VSM",1,4,"S","S2",1,"3",7,NA,"Sph bal",0,0,0.01,0,0
"1374",1374,2,2021,2021-09-15,"VSM",1,4,"S","S2",1,"3",7,NA,"Sph rip",0,0,0.01,0,0
"1375",1375,2,2021,2021-09-15,"VSM",1,4,"S","S2",1,"3",7,NA,"Sph cf",0,0,0.01,0,0
"1376",1376,2,2021,2021-09-15,"VSM",1,4,"S","S2",2,"4",7,NA,"Sph ang",3,0.428571428571429,3,3,3
"1377",1377,2,2021,2021-09-15,"VSM",1,4,"S","S2",2,"4",7,NA,"Sph cap",2,0.285714285714286,2,2,2
"1378",1378,2,2021,2021-09-15,"VSM",1,4,"S","S2",2,"4",7,NA,"Sph ten",1,0.142857142857143,1,1,1
"1379",1379,2,2021,2021-09-15,"VSM",1,4,"S","S2",2,"4",7,NA,"Sph pap",1,0.142857142857143,1,1,1
"1380",1380,2,2021,2021-09-15,"VSM",1,4,"S","S2",2,"4",7,NA,"Sph div",0,0,0.01,0,0
"1381",1381,2,2021,2021-09-15,"VSM",1,4,"S","S2",2,"4",7,NA,"Sph rus",0,0,0.01,0,0
"1382",1382,2,2021,2021-09-15,"VSM",1,4,"S","S2",2,"4",7,NA,"Sph com",0,0,0.01,0,0
"1383",1383,2,2021,2021-09-15,"VSM",1,4,"S","S2",2,"4",7,NA,"Sph maj",0,0,0.01,0,0
"1384",1384,2,2021,2021-09-15,"VSM",1,4,"S","S2",2,"4",7,NA,"Sph bal",0,0,0.01,0,0
"1385",1385,2,2021,2021-09-15,"VSM",1,4,"S","S2",2,"4",7,NA,"Sph rip",0,0,0.01,0,0
"1386",1386,2,2021,2021-09-15,"VSM",1,4,"S","S2",2,"4",7,NA,"Sph cf",0,0,0.01,0,0
"1387",1387,2,2021,2021-09-15,"VSM",1,4,"S","S2",3,"6",6,NA,"Sph ang",5,0.833333333333333,5,5,5
"1388",1388,2,2021,2021-09-15,"VSM",1,4,"S","S2",3,"6",6,NA,"Sph cap",1,0.166666666666667,1,1,1
"1389",1389,2,2021,2021-09-15,"VSM",1,4,"S","S2",3,"6",6,NA,"Sph ten",0,0,0.01,0,0
"1390",1390,2,2021,2021-09-15,"VSM",1,4,"S","S2",3,"6",6,NA,"Sph pap",0,0,0.01,0,0
"1391",1391,2,2021,2021-09-15,"VSM",1,4,"S","S2",3,"6",6,NA,"Sph div",0,0,0.01,0,0
"1392",1392,2,2021,2021-09-15,"VSM",1,4,"S","S2",3,"6",6,NA,"Sph rus",0,0,0.01,0,0
"1393",1393,2,2021,2021-09-15,"VSM",1,4,"S","S2",3,"6",6,NA,"Sph com",0,0,0.01,0,0
"1394",1394,2,2021,2021-09-15,"VSM",1,4,"S","S2",3,"6",6,NA,"Sph maj",0,0,0.01,0,0
"1395",1395,2,2021,2021-09-15,"VSM",1,4,"S","S2",3,"6",6,NA,"Sph bal",0,0,0.01,0,0
"1396",1396,2,2021,2021-09-15,"VSM",1,4,"S","S2",3,"6",6,NA,"Sph rip",0,0,0.01,0,0
"1397",1397,2,2021,2021-09-15,"VSM",1,4,"S","S2",3,"6",6,NA,"Sph cf",0,0,0.01,0,0
"1398",1398,2,2021,2021-09-15,"VSM",1,4,"S","S2",4,"6",3,NA,"Sph ang",1,0.333333333333333,1,1,1
"1399",1399,2,2021,2021-09-15,"VSM",1,4,"S","S2",4,"6",3,NA,"Sph cap",1,0.333333333333333,1,1,1
"1400",1400,2,2021,2021-09-15,"VSM",1,4,"S","S2",4,"6",3,NA,"Sph ten",0,0,0.01,0,0
"1401",1401,2,2021,2021-09-15,"VSM",1,4,"S","S2",4,"6",3,NA,"Sph pap",1,0.333333333333333,1,1,1
"1402",1402,2,2021,2021-09-15,"VSM",1,4,"S","S2",4,"6",3,NA,"Sph div",0,0,0.01,0,0
"1403",1403,2,2021,2021-09-15,"VSM",1,4,"S","S2",4,"6",3,NA,"Sph rus",0,0,0.01,0,0
"1404",1404,2,2021,2021-09-15,"VSM",1,4,"S","S2",4,"6",3,NA,"Sph com",0,0,0.01,0,0
"1405",1405,2,2021,2021-09-15,"VSM",1,4,"S","S2",4,"6",3,NA,"Sph maj",0,0,0.01,0,0
"1406",1406,2,2021,2021-09-15,"VSM",1,4,"S","S2",4,"6",3,NA,"Sph bal",0,0,0.01,0,0
"1407",1407,2,2021,2021-09-15,"VSM",1,4,"S","S2",4,"6",3,NA,"Sph rip",0,0,0.01,0,0
"1408",1408,2,2021,2021-09-15,"VSM",1,4,"S","S2",4,"6",3,NA,"Sph cf",0,0,0.01,0,0
"1409",1409,2,2021,2021-09-15,"VSM",2,1,"S","S1",1,"2",27,NA,"Sph ang",8,0.296296296296296,8,8,8
"1410",1410,2,2021,2021-09-15,"VSM",2,1,"S","S1",1,"2",27,NA,"Sph cap",1,0.037037037037037,1,1,1
"1411",1411,2,2021,2021-09-15,"VSM",2,1,"S","S1",1,"2",27,NA,"Sph ten",3,0.111111111111111,3,3,3
"1412",1412,2,2021,2021-09-15,"VSM",2,1,"S","S1",1,"2",27,NA,"Sph pap",15,0.555555555555556,15,15,15
"1413",1413,2,2021,2021-09-15,"VSM",2,1,"S","S1",1,"2",27,NA,"Sph div",0,0,0.01,0,0
"1414",1414,2,2021,2021-09-15,"VSM",2,1,"S","S1",1,"2",27,NA,"Sph rus",0,0,0.01,0,0
"1415",1415,2,2021,2021-09-15,"VSM",2,1,"S","S1",1,"2",27,NA,"Sph com",0,0,0.01,0,0
"1416",1416,2,2021,2021-09-15,"VSM",2,1,"S","S1",1,"2",27,NA,"Sph maj",0,0,0.01,0,0
"1417",1417,2,2021,2021-09-15,"VSM",2,1,"S","S1",1,"2",27,NA,"Sph bal",0,0,0.01,0,0
"1418",1418,2,2021,2021-09-15,"VSM",2,1,"S","S1",1,"2",27,NA,"Sph rip",0,0,0.01,0,0
"1419",1419,2,2021,2021-09-15,"VSM",2,1,"S","S1",1,"2",27,NA,"Sph cf",0,0,0.01,0,0
"1420",1420,2,2021,2021-09-15,"VSM",2,1,"S","S1",2,"2",21,NA,"Sph ang",10,0.476190476190476,10,10,10
"1421",1421,2,2021,2021-09-15,"VSM",2,1,"S","S1",2,"2",21,NA,"Sph cap",0,0,0.01,0,0
"1422",1422,2,2021,2021-09-15,"VSM",2,1,"S","S1",2,"2",21,NA,"Sph ten",7,0.333333333333333,7,7,7
"1423",1423,2,2021,2021-09-15,"VSM",2,1,"S","S1",2,"2",21,NA,"Sph pap",4,0.19047619047619,4,4,4
"1424",1424,2,2021,2021-09-15,"VSM",2,1,"S","S1",2,"2",21,NA,"Sph div",0,0,0.01,0,0
"1425",1425,2,2021,2021-09-15,"VSM",2,1,"S","S1",2,"2",21,NA,"Sph rus",0,0,0.01,0,0
"1426",1426,2,2021,2021-09-15,"VSM",2,1,"S","S1",2,"2",21,NA,"Sph com",0,0,0.01,0,0
"1427",1427,2,2021,2021-09-15,"VSM",2,1,"S","S1",2,"2",21,NA,"Sph maj",0,0,0.01,0,0
"1428",1428,2,2021,2021-09-15,"VSM",2,1,"S","S1",2,"2",21,NA,"Sph bal",0,0,0.01,0,0
"1429",1429,2,2021,2021-09-15,"VSM",2,1,"S","S1",2,"2",21,NA,"Sph rip",0,0,0.01,0,0
"1430",1430,2,2021,2021-09-15,"VSM",2,1,"S","S1",2,"2",21,NA,"Sph cf",0,0,0.01,0,0
"1431",1431,2,2021,2021-09-15,"VSM",2,1,"S","S1",3,"2",46,"sm<e5>rute 5","Sph ang",5,0.108695652173913,5,5,5
"1432",1432,2,2021,2021-09-15,"VSM",2,1,"S","S1",3,"2",46,"sm<e5>rute 5","Sph cap",1,0.0217391304347826,1,1,1
"1433",1433,2,2021,2021-09-15,"VSM",2,1,"S","S1",3,"2",46,"sm<e5>rute 5","Sph ten",5,0.108695652173913,5,5,5
"1434",1434,2,2021,2021-09-15,"VSM",2,1,"S","S1",3,"2",46,"sm<e5>rute 5","Sph pap",35,0.760869565217391,35,35,35
"1435",1435,2,2021,2021-09-15,"VSM",2,1,"S","S1",3,"2",46,"sm<e5>rute 5","Sph div",0,0,0.01,0,0
"1436",1436,2,2021,2021-09-15,"VSM",2,1,"S","S1",3,"2",46,"sm<e5>rute 5","Sph rus",0,0,0.01,0,0
